Date;Open;High;Low;Close;Adj Close;Volume
2020-06-03;6,82E+15;6,93E+15;6,32E+15;6,50E+15;6,50E+15;230720000
2020-06-04;6,38E+15;6,80E+15;6,32E+15;6,78E+15;6,78E+15;183965000
2020-06-05;7,04E+15;7,62E+15;6,97E+15;7,45E+15;7,45E+15;292395000
2020-06-08;7,70E+15;7,71E+15;7,36E+15;7,47E+16;7,47E+16;231035000
2020-06-09;7,22E+16;7,38E+15;7,01E+15;7,04E+15;7,04E+15;197980000
2020-06-10;7,18E+15;7,18E+15;6,56E+15;6,58E+15;6,58E+15;256200000
2020-06-12;6,20E+15;6,66E+15;6,05E+15;6,17E+15;6,17E+15;275650000
2020-06-15;5,82E+15;6,72E+14;575;6,70E+15;6,70E+15;259160000
2020-06-16;7,04E+15;7,22E+15;6,44E+15;6,63E+15;6,63E+15;266515000
2020-06-17;6,72E+14;6,86E+15;6,52E+14;6,67E+15;6,67E+15;120965000
2020-06-18;6,64E+15;7,04E+15;6,62E+15;7,03E+15;7,03E+15;179470000
2020-06-19;7,24E+15;7,36E+15;6,85E+15;7,02E+14;7,02E+14;234890000
2020-06-22;7,07E+15;7,17E+15;6,84E+16;6,92E+15;6,92E+15;100135000
2020-06-23;7,10E+15;7,29E+15;6,92E+15;7,13E+15;7,13E+15;172005000
2020-06-24;70;7,03E+16;6,47E+14;6,72E+15;6,72E+15;213060000
2020-06-25;6,63E+15;7,09E+16;6,55E+15;7,09E+16;7,09E+16;204445000
2020-06-26;7,00E+15;7,09E+16;6,82E+15;6,89E+15;6,89E+15;136220000
2020-06-29;6,98E+15;7,03E+16;6,82E+15;6,99E+15;6,99E+15;110355000
2020-06-30;6,90E+15;7,08E+15;6,84E+16;7,08E+15;7,08E+15;114330000
2020-07-01;7,08E+15;7,33E+15;6,90E+15;6,90E+15;6,90E+15;201980000
2020-07-02;7,13E+15;7,19E+15;6,91E+16;7,08E+15;7,08E+15;186045000
2020-07-03;7,03E+16;7,04E+15;6,87E+15;6,97E+15;6,97E+15;104530000
2020-07-06;7,08E+15;7,46E+15;7,05E+15;7,43E+15;7,43E+15;317970000
2020-07-07;7,32E+15;7,49E+15;7,27E+15;7,43E+15;7,43E+15;138140000
2020-07-08;7,50E+15;7,68E+15;7,33E+15;7,33E+15;7,33E+15;205265000
